DIAMD_NO	STOCK_NO	PARENT_ITEM_NO_ALT	BOUNCE_USE_ITEM	FULL_TITLE	MAIN_DESC	VARIANT_DESC	SERIES_CODE	ISSUE_NO	ISSUE_SEQ_NO	VOLUME_TAG	MAX_ISSUE	PRICE	PUBLISHER	UPC_NO	SHORT_ISBN_NO	EAN_NO	CARDS_PER_PACK	PACK_PER_BOX	BOX_PER_CASE	DISCOUNT_CODE	INCREMENT	PRNT_DATE	FOC_VENDOR	SHIP_DATE	SRP	CATEGORY	GENRE	BRAND_CODE	MATURE	ADULT	OA	CAUT1	CAUT2	CAUT3	RESOL	NOTE_PRICE	ORDER_FORM_NOTES	PAGE	WRITER	ARTIST	COVER_ARTIST
AUG120001	STK474620			PREVIEWS #289 OCTOBER 2012 (Net)	PREVIEWS #289 OCTOBER 2012		15163	1682	0			2.7		60325923600024210			0	0	0	J	10	8/8/2012	N	8/29/2012	4.5	14			N	N	N	0	0	0	N	N	(NOTE: Retailers ordering 20 or more will be billed at these rates: 20-40 @ $2.59 ea., 41-80 @ $2.48, 81+ @ $2.39.)	23			
AUG120002	STK474622			MARVEL PREVIEWS OCTOBER 2012 EXTRAS (Net)	MARVEL PREVIEWS OCTOBER 2012 EXTRAS		16776		0			0.75		75960605479411011			0	0	0	J	10	9/3/2012	N	10/3/2012	1.25	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: Item can be ordered in quantities above your Previews order here. You will receive 1 free issue with each issue of Previews ordered.)	23			
AUG120003	STK474615			PREVIEWS #289 OCT 2012 CUSTOMER ORDER FORM (Net)	PREVIEWS #289 OCT 2012 CUSTOMER ORDER FORM		15165	1682	0			0.15		 			0	0	0	J	1	8/8/2012	N	8/29/2012	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: This item can be ordered in quantities equal to your Previews order.) SAME UPC OK FOR OF & OF EXTRAS	23			
AUG120004	STK474616			PREVIEWS #289 OCT 2012 CUSTOMER ORDER FORM EXTRAS (Net)	PREVIEWS #289 OCT 2012 CUSTOMER ORDER FORM EXTRAS		15166	1682	0			0.3		60325923601724210			0	0	0	J	1	8/8/2012	N	8/29/2012	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may order copies in quantities above your Previews order here.)SAME UPC OK FOR OF & OF EXTR	23			
AUG120005	STK474618			PREVIEWS #289 OCT 2012 RET ORD FORM FREE EXTRAS (LIM 1) (Net	PREVIEWS #289 OCT 2012 RET ORD FORM FREE EXTRAS (LIM 1)		15169	1682	0			0		 			0	0	0	J	1	8/8/2012	N	8/29/2012	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may order one FREE copy of the Previews Retailer Order Form here.)	23			
AUG120006	STK474619			PREVIEWS #289 OCT 2012 RETAILER ORDER FORM EXTRAS (Net)	PREVIEWS #289 OCT 2012 RETAILER ORDER FORM EXTRAS		15170	1682	0			1.25		60325923603124210			0	0	0	J	1	8/8/2012	N	8/29/2012	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may also order additional copies of the Previews Retailer Order Form here.)	23			
AUG120007	STK474617			PREVIEWS #289 OCT 2012 FAX ORDER FORM (LIMIT 1) (Net)	PREVIEWS #289 OCT 2012 FAX ORDER FORM (LIMIT 1)		15172	1594	0			2		60325923604824210			0	0	0	J	1	8/8/2012	N	8/29/2012	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: Use this form to make faxing your order to Diamond easier! Great for overseas accounts. Cuts down on fax charges and paper. Simply transfer your order from the Order Form to this item-only form	23			
AUG120008	STK474163			AVENGERS 8 PK DESSERT PLATES 6PC CS (C: 0-1-3)	AVENGERS 8 PK DESSERT PLATES 6PC CS		0		0			25.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8-packs.)	28			
AUG120009	STK474166			AVENGERS 16PK LUNCHEON NAPKINS 6PC CS (C: 0-1-3)	AVENGERS 16PK LUNCHEON NAPKINS 6PC CS		0		0			25.14		 			16	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 16-packs.)	28			
AUG120010	STK474168			AVENGERS TABLE COVER 6PC CS (C: 0-1-3)	AVENGERS TABLE COVER 6PC CS		0		0			38.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	6.49	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120011	STK474171			AVENGERS STICKER 6PC CS (C: 0-1-3)	AVENGERS STICKER 6PC CS		0		0			11.34		 			1	6	1	U	10	8/31/2012	N	9/26/2012	1.89	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120012	STK474172			AVENGERS PARTY INVITATIONS 8PK 6PC CS (C: 0-1-3)	AVENGERS PARTY INVITATIONS 8PK 6PC CS		0		0			25.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8 packs.)	28			
AUG120013	STK474173			AVENGERS TEMPORARY TATTOO 6PC CS (C: 0-1-3)	AVENGERS TEMPORARY TATTOO 6PC CS		0		0			19.14		 			1	6	1	U	10	8/31/2012	N	9/26/2012	3.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120014	STK474174			AVENGERS PARTY FAVOR PACK 8PK 6PC CS (C: 0-1-3)	AVENGERS PARTY FAVOR PACK 8PK 6PC CS		0		0			59.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	9.99	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8 packs.)	28			
AUG120015	STK474179			AVENGERS CREPE STREAMER 30FT 6PC CS (C: 0-1-3)	AVENGERS CREPE STREAMER 30FT 6PC CS		0		0			12.54		 			1	6	1	U	10	8/31/2012	N	9/26/2012	2.09	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120016	STK474188			AVENGERS HAPPY BIRTHDAY BANNER 6PC CS (C: 0-1-3)	AVENGERS HAPPY BIRTHDAY BANNER 6PC CS		0		0			25.14		 			1	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120017	STK474189			AVENGERS CONFETTI 6PC CS (C: 0-1-3)	AVENGERS CONFETTI 6PC CS		0		0			14.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	2.49	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120018	STK474194			CAPTAIN AMERICA 8 PK DESSERT PLATES 6PC CS (C: 0-1-3)	CAPTAIN AMERICA 8 PK DESSERT PLATES 6PC CS		0		0			25.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8-packs.)	28			
AUG120019	STK474196			CAPTAIN AMERICA 16PK LUNCHEON NAPKINS 6PC CS (C: 0-1-3)	CAPTAIN AMERICA 16PK LUNCHEON NAPKINS 6PC CS		0		0			25.14		 			16	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 16-packs.)	28			
AUG120020	STK474201			CAPTAIN AMERICA STICKER 6PC CS (C: 0-1-3)	CAPTAIN AMERICA STICKER 6PC CS		0		0			11.34		 			1	6	1	U	10	8/31/2012	N	9/26/2012	1.89	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120021	STK474202			CAPTAIN AMERICA TABLE COVER 6PC CS (C: 0-1-3)	CAPTAIN AMERICA TABLE COVER 6PC CS		0		0			38.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	6.49	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120022	STK474203			CAPTAIN AMERICA PARTY INVITATIONS 8PK 6PC CS (C: 0-1-3)	CAPTAIN AMERICA PARTY INVITATIONS 8PK 6PC CS		0		0			25.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8 packs.)	28			
AUG120023	STK474204			CAPTAIN AMERICA TEMPORARY TATTOO 6PC CS (C: 0-1-3)	CAPTAIN AMERICA TEMPORARY TATTOO 6PC CS		0		0			19.14		 			1	6	1	U	10	8/31/2012	N	9/26/2012	3.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120024	STK474205			CAPTAIN AMERICA PARTY FAVOR PACK 8PK 6PC CS (C: 0-1-3)	CAPTAIN AMERICA PARTY FAVOR PACK 8PK 6PC CS		0		0			59.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	9.99	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8 packs.)	28			
AUG120025	STK474206			CAPTAIN AMERICA HAPPY BIRTHDAY BANNER 6PC CS (C: 0-1-3)	CAPTAIN AMERICA HAPPY BIRTHDAY BANNER 6PC CS		0		0			25.14		 			1	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	28			
AUG120026	STK474207			CAPTAIN AMERICA IRON ON TRANSFER 4PK 6PC CS (C: 0-1-3)	CAPTAIN AMERICA IRON ON TRANSFER 4PK 6PC CS		0		0			23.94		 			4	6	1	U	10	8/31/2012	N	9/26/2012	3.99	8	SH	MH	N	N	N	0	1	3	N	N	(NOTE: Case contains six 4 packs.)	28			
AUG120027	STK474210			BATMAN HEROES & VILLAINS BEVERAGE NAPKINS 16PK 6PC CS (C: 0-	BATMAN HEROES & VILLAINS BEVERAGE NAPKINS 16PK 6PC CS		0		0			22.14		 			16	6	1	U	10	8/31/2012	N	9/26/2012	3.69	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 16-packs.)	29			
AUG120028	STK474216			BATMAN HEROES & VILLAINS DESSERT PLATES 8PK 6PC CS (C: 0-1-3	BATMAN HEROES & VILLAINS DESSERT PLATES 8PK 6PC CS		0		0			25.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8-packs.)	29			
AUG120029	STK474218			BATMAN HEROES & VILLAINS TABLE CLOTH 6PC CASE (C: 0-1-3)	BATMAN HEROES & VILLAINS TABLE CLOTH 6PC CASE		0		0			38.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	6.49	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Contains six table cloths.)	29			
AUG120030	STK474219			BATMAN HEROES & VILLAINS BEVERAGE CUPS 8PK 6PC CS (C: 0-1-3)	BATMAN HEROES & VILLAINS BEVERAGE CUPS 8PK 6PC CS		0		0			22.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	3.69	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8-packs.)	29			
AUG120031	STK474223			BATMAN HEROES & VILLAINS CONFETTI 6PC CS (C: 0-1-3)	BATMAN HEROES & VILLAINS CONFETTI 6PC CS		0		0			14.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	2.49	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	29			
AUG120032	STK474230			BATMAN HEROES & VILLAINS DANGLERS 3PK 6PC CS (C: 0-1-3)	BATMAN HEROES & VILLAINS DANGLERS 3PK 6PC CS		0		0			31.74		 			3	6	1	U	10	8/31/2012	N	9/26/2012	5.29	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 3 packs.)	29			
AUG120033	STK474235			BATMAN HEROES & VILLAINS FOAM BAT-A-RANGS 4PK 4PC CS (C: 0-1	BATMAN HEROES & VILLAINS FOAM BAT-A-RANGS 4PK 4PC CS		0		0			15.96		 			4	4	1	U	10	8/31/2012	N	9/26/2012	3.99	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains four 4 packs.)	29			
AUG120034	STK474239			BATMAN HEROES & VILLAINS STREAMER-CREPE 6PC CS (C: 0-1-3)	BATMAN HEROES & VILLAINS STREAMER-CREPE 6PC CS		0		0			12.54		 			1	6	1	U	10	8/31/2012	N	9/26/2012	2.09	8	SH	BM	N	N	N	0	1	3	N	N	(NOTE: Case contains 6 pieces.)	29			
AUG120035	STK474243			AMAZING SPIDER-MAN LUNCHEON NAPKINS 16PK 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN LUNCHEON NAPKINS 16PK 6PC CS		0		0			25.14		 			16	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Contains six 16 packs.)	29			
AUG120036	STK474246			AMAZING SPIDER-MAN DESSERT PLATES 8PK 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN DESSERT PLATES 8PK 6PC CS		0		0			25.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	4.19	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8 packs.)	29			
AUG120037	STK474247			AMAZING SPIDER-MAN TABLE CLOTH 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN TABLE CLOTH 6PC CS		0		0			38.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	6.49	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Contains six pieces.)	29			
AUG120038	STK474248			AMAZING SPIDER-MAN BEVERAGE CUPS 8PK 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN BEVERAGE CUPS 8PK 6PC CS		0		0			22.14		 			8	6	1	U	10	8/31/2012	N	9/26/2012	3.69	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 8-packs.)	29			
AUG120039	STK474249			AMAZING SPIDER-MAN DANGLERS 3PK 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN DANGLERS 3PK 6PC CS		0		0			31.74		 			3	6	1	U	10	8/31/2012	N	9/26/2012	5.29	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Case contains six 3 packs.)	29			
AUG120040	STK474282			AMAZING SPIDER-MAN CONFETTI 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN CONFETTI 6PC CS		0		0			14.94		 			1	6	1	U	10	8/31/2012	N	9/26/2012	2.49	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Case contains six pieces.)	29			
AUG120041	STK474283			AMAZING SPIDER-MAN STREAMER-CREPE 6PC CS (C: 0-1-3)	AMAZING SPIDER-MAN STREAMER-CREPE 6PC CS		0		0			12.54		 			1	6	1	U	10	8/31/2012	N	9/26/2012	2.09	8	SH	SM	N	N	N	0	1	3	N	N	(NOTE: Case contains 6 pieces.)	29			
AUG120042	STK473734	MAY128104		HALLOWEEN RETAILER PARTY KIT (Net) (C: 0-1-2)	HALLOWEEN RETAILER PARTY KIT		0		0			63.78		603259036020			0	0	0	J	6	8/31/2012	N	9/12/2012	0	8	HA	XX	N	N	N	0	1	2	N	N	(NOTE: Quantities are limited.  Allocations may occur.)	29			
AUG120043	STK474951			GHOST #1	GHOST		130617	1	0			2.99	DARK HORSE COMICS	76156821553300111			0	0	0	D3	10	9/17/2012	N	10/10/2012	2.99	1	CR	XX	N	N	N	0	0	0	N	N	(NOTE: Item ships with two covers in a 50/50 split. Cvr A: Phil Noto cover. Cvr B: Alex Ross cover.)	34	Deconnick, Kelly Sue	Noto, Phil	Noto, Phil
AUG120044	STK474952			GHOST OMNIBUS TP VOL 03 (C: 0-1-2)	GHOST OMNIBUS TP		124089	3	0	VOL		24.99	DARK HORSE COMICS	 	1595823743	978159582374852499	0	0	0	V3	5	9/17/2012	N	12/19/2012	24.99	3	SH	DH	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	35	Luke, Eric	Reis, Ivan	Chalenor, Chris
AUG120045	STK474953			ADV OF DR MCNINJA TP VOL 02 TIMEFIST (C: 0-1-2)	ADV OF DR MCNINJA TP	TIMEFIST	128442	2	0	VOL		19.99	DARK HORSE COMICS	 	1616550694	978161655069151999	0	0	0	V3	6	9/3/2012	N	12/5/2012	19.99	3	HU	XX	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	36	Hastings, Christopher	Hastings, Christopher	Clark, Anthony
AUG120046	STK474923			DARK HORSE PRESENTS #17	DARK HORSE PRESENTS		128639	17	0	VOL		7.99	DARK HORSE COMICS	76156817843201711			0	0	0	D3	10	9/24/2012	N	10/24/2012	7.99	1	AN	XX	N	N	N	0	0	0	N	N		37	Chelsea, David	McNeil, Carla Speed	McNeil, Carla Speed
AUG120047	STK474954			DARKSIDERS II DEATHS DOOR HC VOL 01 (C: 0-1-2)	DARKSIDERS II DEATHS DOOR HC		130755	1	0	VOL		12.99	DARK HORSE COMICS	 	1616550260	978161655026451299	0	0	0	V3	8	9/24/2012	N	12/26/2012	12.99	3	GA	VG	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	38	Kreisberg, Andrew	Robinson, Roger	Atiyeh, Michael
AUG120048	STK474927			MIND MGMT #6	MIND MGMT		130147	6	0			3.99	DARK HORSE COMICS	76156819013700611			0	0	0	D3	10	9/24/2012	N	10/24/2012	3.99	1	SF	XX	N	N	N	0	0	0	N	N		40	Kindt, Matt	Kindt, Matt	Kindt, Matt
AUG120049	STK474926			MICHAEL AVON OEMINGS THE VICTORIES #3 (OF 5)	MICHAEL AVON OEMINGS THE VICTORIES		130541	3	0		5	3.99	DARK HORSE COMICS	76156821348500311			0	0	0	D3	10	9/24/2012	N	10/17/2012	3.99	1	SH	XX	N	N	N	0	0	0	N	N		40	Oeming, Michael Avon	Oeming, Michael Avon	Oeming, Michael Avon
AUG120050	STK474932			UNTOLD TALES OF DOG MENDONCA & PIZZABOY ONE SHOT	UNTOLD TALES OF DOG MENDONCA & PIZZABOY ONE SHOT		0		0			2.99	DARK HORSE COMICS	76156821704900111			0	0	0	D3	10	10/1/2012	N	10/24/2012	2.99	1	AA	XX	N	N	N	0	0	0	N	N		41	Melo, Filipe	Cavia, Juan	Villa, Santiago
AUG120051	STK474925			MASSIVE #5	MASSIVE		130263	5	0			3.5	DARK HORSE COMICS	76156820024900511			0	0	0	D3	10	9/17/2012	N	10/10/2012	3.5	1	AA	XX	N	N	N	0	0	0	N	N		42	Wood, Brian	Brown, Garry	Steward, Dave
AUG120052	STK474957			TARZAN ONCE & FUTURE TARZAN ONE SHOT	TARZAN ONCE & FUTURE TARZAN ONE SHOT		0		0			3.5	DARK HORSE COMICS	76156821707000111			0	0	0	D3	10	10/8/2012	N	10/31/2012	3.5	1	AA	XX	N	N	N	0	0	0	N	N		43	Gordon, Alan	Yeates, Tom	Yeates, Tom
AUG120053	STK474955			TARZAN RUSS MANNING YEARS HC VOL 01 (C: 0-1-2)	TARZAN RUSS MANNING YEARS HC		130756	1	0	VOL		49.99	DARK HORSE COMICS	 	1595829377	978159582937554999	0	0	0	V3	6	9/24/2012	N	12/26/2012	49.99	3	AA	XX	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	43	DuBois, Gaylord	Manning, Russ	Manning, Russ
AUG120054	STK474933			BILLY KIDS ODDITIES & ORM LOCH NESS #1 (OF 4) HOTZ CVR	BILLY KIDS ODDITIES & ORM LOCH NESS	HOTZ CVR	130751	1	0		4	3.5	DARK HORSE COMICS	76156818397900111			0	0	0	D3	10	9/24/2012	N	10/17/2012	3.5	1	HO	XX	N	N	N	0	0	0	N	N		45	Powell, Eric	Hotz, Kyle	Hotz, Kyle
AUG120055	STK474934			BILLY KIDS ODDITIES & ORM LOCH NESS #1 (OF 4) POWELL VAR	BILLY KIDS ODDITIES & ORM LOCH NESS	POWELL VAR	130751	1	1		4	3.5	DARK HORSE COMICS	76156818397900121			0	0	0	D3	10	9/24/2012	N	10/17/2012	3.5	1	HO	XX	N	N	N	0	0	0	N	N	(NOTE: For every 5 copies of BKOTO Orm Loch Ness #1 Kyle Hotz cover ordered, retailers may purchase 1 Eric Powell variant cover. )	45	Powell, Eric	Hotz, Kyle	Powell, Eric
AUG120056	STK474924			GOON #43	GOON		14510	43	0			3.5	DARK HORSE COMICS	76156812592404311			0	0	0	D3	10	10/8/2012	N	10/31/2012	3.5	1	HO	XX	N	N	N	0	0	0	N	N	(NOTE: Match or increase orders (minimum of 10 copies) for The Goon #43 to initial orders for JUL120057 The Goon #42 an receive an additional 5% discount.)	46	Powell, Eric	Powell, Eric	Powell, Eric
AUG120057	STK474922			CREEP #2	CREEP		130538	2	0			3.5	DARK HORSE COMICS	76156819031100211			0	0	0	D3	10	9/17/2012	N	10/10/2012	3.5	1	CR	XX	N	N	N	0	0	0	N	N		46	Arcudi, John	Case, Jonathan	Sook, Ryan
AUG120058	STK474936			CREEPY COMICS #10	CREEPY COMICS		126005	10	0			4.99	DARK HORSE COMICS	76156815862501011			0	0	0	D3	10	9/3/2012	N	10/3/2012	4.99	1	HO	XX	N	N	N	0	0	0	N	N		47	Lovecraft, H. P.	Jones, Kelley	Gist, E.M.
AUG120059	STK474958			EERIE PRESENTS EL CID HC (C: 0-1-2)	EERIE PRESENTS EL CID HC		0		0			15.99	DARK HORSE COMICS	 	1616550155	978161655015851599	0	0	0	V3	7	9/24/2012	N	12/26/2012	15.99	3	HO	XX	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	47	Lewis, Budd	Mayo, Gonzalo	Sanjulian,
AUG120060	STK474938			BPRD 1948 #1 (OF 5) JOHNSON CVR	BPRD 1948	JOHNSON CVR	130752	1	0		5	3.5	DARK HORSE COMICS	76156818454900111			0	0	0	D3	10	9/24/2012	N	10/17/2012	3.5	1	HO	MM	N	N	N	0	0	0	N	N		48	Mignola, Mike	Fiumara, Max	Stewart, Dave
AUG120061	STK474939			BPRD 1948 #1 (OF 5) MIGNOLA VAR CVR	BPRD 1948	MIGNOLA VAR CVR	130752	1	1		5	3.5	DARK HORSE COMICS	76156818454900121			0	0	0	D3	10	9/24/2012	N	10/17/2012	3.5	1	HO	MM	N	N	N	0	0	0	N	N	(NOTE: For every 5 copies BPRD 1948 #1 Dave Johnson cover ordered, retailers may purchase 1 Mike Mignola Year of Monsters variant cover.)	48	Mignola, Mike	Fiumara, Max	Mignola, Mike
AUG120062	STK474915			BPRD HELL ON EARTH #100 RETURN O/T MASTER #3 (OF 5)	BPRD HELL ON EARTH #100 RETURN O/T MASTER		130540	3	0		5	3.5	DARK HORSE COMICS	76156817966800311			0	0	0	D3	10	10/8/2012	N	10/31/2012	3.5	1	HO	MM	N	N	N	0	0	0	N	N		50	Mignola, Mike	Crook, Tyler	Stewart, Dave
AUG120063	STK471074			BPRD HELL ON EARTH TP VOL 04 DEVIL ENGINE & LONG DEATH (C: 0	BPRD HELL ON EARTH TP	DEVIL ENGINE & LONG DEATH	128899	4	0	VOL		19.99	DARK HORSE COMICS	 	1595829814	9781595829818	0	0	0	V3	10	9/3/2012	N	12/5/2012	19.99	3	HO	MM	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	51	Mignola, Mike	Harren, James	Mignola, Mike
AUG120064	STK474940			EX SANGUINE #1 (OF 5) (MR)	EX SANGUINE		130753	1	0		5	3.99	DARK HORSE COMICS	76156819513200111			0	0	0	D3	10	9/24/2012	N	10/17/2012	3.99	1	HO	XX	Y	N	N	0	0	0	N	N	(NOTE: Match or exceed initial orders for Ex Sanguine #1 to initial orders for B.P.R.D.: 1948 #1 (minimum qty of 15 copies) and receive +5% discount on orders for both titles.)	53	Seeley, Tim	Seeley, Tim	Seeley, Tim
AUG120065	STK474917			BTVS SEASON 9 FREEFALL #14 NOTO CVR	BTVS SEASON 9 FREEFALL	NOTO CVR	129303	14	0			2.99	DARK HORSE COMICS	76156818159301411			0	0	0	D3	10	9/17/2012	N	10/10/2012	2.99	1	HO	BU	N	N	N	0	0	0	N	N	(NOTE: Both covers available for order.)	54	Espenson, Jane	Moline, Karl	Madsen, Michelle
AUG120066	STK474916			BTVS SEASON 9 FREEFALL #14 JEANTY VAR CVR	BTVS SEASON 9 FREEFALL	JEANTY VAR CVR	129303	14	1			2.99	DARK HORSE COMICS	76156818159301421			0	0	0	D3	10	9/17/2012	N	10/10/2012	2.99	1	HO	BU	N	N	N	0	0	0	N	N	(NOTE: Both covers available for order.)	54	Espenson, Jane	Moline, Karl	Jeanty, Georges
AUG120067	STK471077			BTVS SEASON 9 TP VOL 02 ON YOUR OWN (C: 0-1-2)	BTVS SEASON 9 TP	ON YOUR OWN	130266	2	0	VOL		17.99	DARK HORSE COMICS	 	1595829903	978159582990051799	0	0	0	V3	8	9/3/2012	N	12/5/2012	17.99	3	HO	BU	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	55	Chambliss, Andrew	Jeanty, Georges	Madsen, Michelle
AUG120068	STK471076			BTVS SEASON 8 LIBRARY HC VOL 03 (C: 0-1-2)	BTVS SEASON 8 LIBRARY HC		129890	3	0	VOL		29.99	DARK HORSE COMICS	 	1595829784	978159582978852999	0	0	0	V3	4	9/10/2012	N	12/12/2012	29.99	3	HO	BU	N	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	55	Whedon, Joss	Jeanty, Georges	Madsen, Michelle
AUG120069	STK474914			ANGEL & FAITH #15 STEVE MORRIS CVR	ANGEL & FAITH	STEVE MORRIS CVR	129189	15	0			2.99	DARK HORSE COMICS	76156818152401511			0	0	0	D3	10	10/8/2012	N	10/31/2012	2.99	1	HO	BU	N	N	N	0	0	0	N	N	(NOTE: Both covers available for order.)	56	Gage, Christos N.	Lapham, David	Jackson, Dan
AUG120070	STK474913			ANGEL & FAITH #15 REBEKAH ISAACS VAR CVR	ANGEL & FAITH	REBEKAH ISAACS VAR CVR	129189	15	1			2.99	DARK HORSE COMICS	76156818152401521			0	0	0	D3	10	10/8/2012	N	10/31/2012	2.99	1	HO	BU	N	N	N	0	0	0	N	N	(NOTE: Both covers available for order.)	56	Gage, Christos N.	Lapham, Daniel	Jackson, Dan
AUG120071	STK474918			BUFFY THE VAMPIRE SLAYER SPIKE #3 (OF 5) FRISON CVR	BUFFY THE VAMPIRE SLAYER SPIKE	FRISON CVR	130539	3	0		5	2.99	DARK HORSE COMICS	76156818167800311			0	0	0	D3	10	10/1/2012	N	10/24/2012	2.99	1	HO	BU	N	N	N	0	0	0	N	N	(NOTE: Both covers available for order.)	57	Gischler, Victor	Lee, Paul	Frison, Jenny
AUG120072	STK474919			BUFFY THE VAMPIRE SLAYER SPIKE #3 (OF 5) MORRIS VAR CVR	BUFFY THE VAMPIRE SLAYER SPIKE	MORRIS VAR CVR	130539	3	1		5	2.99	DARK HORSE COMICS	76156818167800321			0	0	0	D3	10	10/1/2012	N	10/24/2012	2.99	1	HO	BU	N	N	N	0	0	0	N	N	(NOTE: Both covers available for order.)	57	Gischler, Victor	Lee, Paul	Morris, Steve
AUG120073	STK474928			ORCHID #10 (MR)	ORCHID		129456	10	0			3.5	DARK HORSE COMICS	76156816912601011			0	0	0	D3	10	9/17/2012	N	10/10/2012	3.5	1	SF	XX	Y	N	N	0	0	0	N	N		58	Morello, Tom	Hepburn, Scott	Jackson, Dan
AUG120074	STK474942			ORCHID TP VOL 02 (MR) (C: 0-1-2)	ORCHID TP		130145	2	0	VOL		17.99	DARK HORSE COMICS	 	1595829660	978159582966551799	0	0	0	V3	10	9/24/2012	N	12/26/2012	17.99	3	SF	XX	Y	N	N	0	1	2	N	N	(NOTE: Item advance solicited for December 2012 on sale.)	59	Morello, Tom	Hepburn, Scott	Jackson, Dan
